City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Timbiquí,2.7717,-77.6654,73.99,94,72,3.4,CO,1612435861
Vila Velha,-20.3297,-40.2925,79.0,78,0,4.61,BR,1612435561
Uruçuí,-7.2294,-44.5561,80.89,70,51,0.74,BR,1612435861
Urucará,-2.5364,-57.76,76.03,85,100,2.17,BR,1612435861
Rudabánya,48.3833,20.6333,51.01,71,0,14.97,HU,1612435861
Jinka,5.65,36.65,91.96,15,0,2.04,ET,1612435862
Praia da Vitória,38.7333,-27.0667,52.0,82,75,29.8,PT,1612435862
Yerbogachën,61.2767,108.0108,-15.03,88,99,3.58,RU,1612435862
Eirunepé,-6.6603,-69.8736,71.1,97,93,1.41,BR,1612435862
Punta de Bombón,-17.1717,-71.7931,69.67,81,98,3.96,PE,1612435862
Tommot,58.9564,126.2925,-24.2,80,46,2.26,RU,1612435862
Emerald,-23.5333,148.1667,82.4,61,40,18.41,AU,1612435863
Shiyan,32.6475,110.7781,46.6,57,100,4.94,CN,1612435863
Kristiansund,63.1115,7.732,23.0,54,0,17.27,NO,1612435863
Coahuayana Viejo,18.7333,-103.6833,67.23,83,2,2.64,MX,1612435863
Fort Saint James,54.4333,-124.25,8.98,94,100,1.19,CA,1612435863
Mitú,1.1983,-70.1733,70.99,97,95,1.68,CO,1612435863
Cedar City,37.6775,-113.0619,24.8,80,1,4.61,US,1612435863
Minna,9.6139,6.5569,87.8,10,27,23.02,NG,1612435863
Tirumullaivāsal,11.2333,79.8333,78.93,64,84,13.89,IN,1612435864
Abu Kamal,34.4506,40.9171,65.61,30,100,8.77,SY,1612435864
Hohhot,40.8106,111.6522,28.4,29,0,6.71,CN,1612435579
Kologriv,58.8275,44.3178,25.48,97,100,7.61,RU,1612435864
Manavālakurichi,8.1333,77.3,89.6,48,20,4.61,IN,1612435864
Bose,45.4612,8.0137,48.99,86,75,2.55,IT,1612435864
Kokopo,-4.352,152.2633,79.54,83,100,9.71,PG,1612435864
Batagay-Alyta,67.8006,130.4114,-33.02,69,0,0.74,RU,1612435864
Port Hedland,-20.3167,118.5667,82.4,83,90,21.85,AU,1612435865
Okha,53.5739,142.9478,-14.21,86,100,19.04,RU,1612435865
San Luis,-33.295,-66.3356,66.51,43,0,2.82,AR,1612435731
Santa Flavia,38.085,13.5351,66.99,53,91,5.99,IT,1612435865
Oussouye,12.485,-16.5469,78.8,65,0,6.91,SN,1612435865
Glendive,47.1053,-104.7125,6.8,78,1,10.36,US,1612435865
Portland,45.5234,-122.6762,39.99,93,90,3.44,US,1612435391
Mokrous,51.2333,47.5167,35.38,100,100,8.1,RU,1612435865
Kodinsk,58.6881,99.1844,4.73,93,100,3.74,RU,1612435866
Vestmanna,62.1564,-7.1664,35.6,69,40,20.71,FO,1612435866
San Jerónimo,-11.9472,-75.2829,48.63,74,100,1.21,PE,1612435866
Tekeli,44.83,78.8239,35.28,75,90,3.13,KZ,1612435866
Hobyo,5.3505,48.5268,81.05,64,21,19.04,SO,1612435866
Mananara,-16.1667,49.7667,86.34,64,21,9.28,MG,1612435866
Radaur,30.0333,77.15,54.86,91,89,12.57,IN,1612435866
La Libertad,-2.2333,-80.9,76.48,80,99,5.79,EC,1612435866
Kushiro,42.975,144.3747,17.6,49,20,10.36,JP,1612435867
Porto-Novo,6.4965,2.6036,87.8,74,40,10.36,BJ,1612435867
Taft,31.7471,54.2088,64.4,14,0,2.3,IR,1612435867
Cidreira,-30.1811,-50.2056,72.03,93,90,16.82,BR,1612435867
Kaitangata,-46.2817,169.8464,53.01,71,0,8.99,NZ,1612435867
Gambiran,-6.7988,111.4951,77.52,88,54,10.76,ID,1612435867
Owando,-0.4819,15.8999,94.48,45,81,2.82,CG,1612435867
Guangyuan,32.442,105.823,35.01,88,43,3.11,CN,1612435867
Necochea,-38.5473,-58.7368,66.13,65,0,10.25,AR,1612435867
Siniscola,40.5719,9.6922,60.8,67,0,3.44,IT,1612435867
Lebanon,36.2081,-86.2911,30.99,93,20,5.26,US,1612435601
Mahébourg,-20.4081,57.7,86.0,66,40,11.5,MU,1612435579
Araçuaí,-16.8497,-42.0703,79.32,70,72,2.17,BR,1612435868
Kontagora,10.3999,5.4695,94.51,10,52,8.77,NG,1612435868
Hastings,50.8552,0.5729,46.99,89,69,4.0,GB,1612435868
Staicele,57.8364,24.75,17.01,83,84,4.0,LV,1612435868
Fenyi,27.8112,114.6681,57.87,82,93,3.36,CN,1612435868
Warri,5.5167,5.75,97.84,41,8,0.98,NG,1612435868
Aklavik,68.2191,-135.0107,-38.2,67,24,1.14,CA,1612435869
Maragogi,-9.0122,-35.2225,81.46,69,16,6.4,BR,1612435869
Rovaniemi,66.5,25.7167,19.4,86,75,13.8,FI,1612435869
Lyuban',52.7985,28.0048,32.72,98,100,6.82,BY,1612435869
Honchō,41.8833,140.6833,17.6,86,75,6.91,JP,1612435869
Paamiut,61.994,-49.6678,10.31,75,0,8.03,GL,1612435869
Lavrentiya,65.5833,-171.0,-20.47,82,0,12.59,RU,1612435869
Shagonar,51.5333,92.8,9.88,91,99,0.81,RU,1612435869
Bosansko Grahovo,44.1794,16.3639,61.0,58,100,1.99,BA,1612435870
Sujiatun,41.6592,123.3392,28.4,64,0,4.47,CN,1612435870
Valle Hermoso,25.6667,-97.8333,66.0,88,1,12.66,MX,1612435870
Elliot,-31.3333,27.85,77.05,53,48,6.42,ZA,1612435870
Ninghai,29.2892,121.4247,55.0,71,47,6.71,CN,1612435870
Paita,-5.0892,-81.1144,72.61,76,66,9.78,PE,1612435870
Sisimiut,66.9395,-53.6735,0.28,75,0,11.52,GL,1612435870
Belyy Yar,53.6039,91.3903,32.0,55,100,4.47,RU,1612435870
Manakara,-22.1333,48.0167,86.83,63,25,10.25,MG,1612435871
Kangundo,-1.2979,37.3471,82.4,23,20,12.66,KE,1612435871
Poya,-21.35,165.15,76.86,88,22,6.35,NC,1612435688
Vitim,59.4511,112.5578,-3.05,90,100,3.22,RU,1612435871
Assaí,-23.3733,-50.8414,75.2,94,20,1.36,BR,1612435871
Caravelas,-17.7125,-39.2481,79.68,77,34,4.99,BR,1612435871
Honningsvåg,70.9821,25.9704,33.8,69,75,28.77,NO,1612435871
Asău,46.4333,26.4,59.0,55,0,19.57,RO,1612435871
Salalah,17.0151,54.0924,78.8,47,0,10.36,OM,1612435871
Araguaçu,-12.9306,-49.8264,76.8,85,82,0.63,BR,1612435872
St. George's,12.0564,-61.7485,78.8,83,20,20.71,GD,1612435872
Bonavista,48.6499,-53.1147,42.8,100,73,8.05,CA,1612435872
Coxim,-18.5067,-54.76,80.47,72,100,2.13,BR,1612435872
Lüderitz,-26.6481,15.1594,76.12,48,0,19.57,NA,1612435872
Tyrma,50.0833,132.1667,-21.71,83,35,4.29,RU,1612435872
Pekan,3.4836,103.3996,84.2,61,20,8.05,MY,1612435872
Tankhoy,51.5528,105.1306,22.35,94,100,1.1,RU,1612435872
Mbini,1.574,9.6134,84.2,84,40,6.91,GQ,1612435872
Neiafu,-18.65,-173.9833,81.12,87,100,14.83,TO,1612435873
Carora,10.1755,-70.0827,69.48,83,91,4.03,VE,1612435873
Ivolginsk,51.7492,107.2837,8.6,78,75,5.1,RU,1612435873
Jodiya,22.6925,70.306,91.0,32,0,6.91,IN,1612435873
Walvis Bay,-22.9575,14.5053,69.01,73,99,4.61,NA,1612435874
Codrington,-38.2667,141.9667,67.73,55,100,10.27,AU,1612435874
Havre-St-Pierre,50.2334,-63.5986,28.4,93,90,9.22,CA,1612435874
Atbasar,51.8,68.3333,24.8,98,100,6.4,KZ,1612435874
Manbij,36.5281,37.9549,55.4,54,75,6.91,SY,1612435875
Dhārchula,29.85,80.5333,59.4,33,99,4.76,IN,1612435875
Nola,40.922,14.5329,62.01,67,40,4.61,IT,1612435875
Atambua,-9.1061,124.8925,73.2,93,100,7.45,ID,1612435751
Shenyang,41.7922,123.4328,28.4,64,0,4.47,CN,1612435875
Kyrylivka,46.3759,35.3675,46.94,86,95,13.24,UA,1612435875
Smithers,54.7804,-127.1743,23.0,86,90,2.3,CA,1612435875
Guerrero Negro,27.9769,-114.0611,59.99,85,100,13.15,MX,1612435875
Georgiyevka,43.0369,74.7114,42.8,65,57,4.47,KZ,1612435876
Presidente Dutra,-5.29,-44.49,76.66,92,47,2.95,BR,1612435876
Chimbote,-9.0853,-78.5783,68.54,78,98,2.17,PE,1612435876
Pomichna,48.2422,31.4158,36.16,99,100,13.6,UA,1612435876
Dvinskoy Bereznik,62.8551,42.7072,20.19,97,100,4.74,RU,1612435876
Zaysan,47.4667,84.8667,23.94,96,99,2.06,KZ,1612435876
Pontes e Lacerda,-15.2261,-59.3353,74.73,91,97,1.21,BR,1612435750
Xining,36.6167,101.7667,30.65,61,100,4.05,CN,1612435876
Yumen,40.2833,97.2,32.16,71,11,22.77,CN,1612435876
Makokou,0.5738,12.8642,78.8,78,75,9.22,GA,1612435877
Chenghai,23.4632,116.768,69.8,52,0,11.18,CN,1612435877
Khudumelapye,-23.8833,24.75,71.11,80,100,2.01,BW,1612435877
Makkah al Mukarramah,21.4267,39.8261,92.01,24,0,26.22,SA,1612435877
Praia,14.9215,-23.5087,71.6,73,0,13.8,CV,1612435877
Antalaha,-14.9003,50.2788,83.82,74,92,9.26,MG,1612435877
Nālūt,30.3333,10.85,68.07,27,100,9.26,LY,1612435877
Umm Hājar,13.2954,19.6966,91.47,11,0,14.0,TD,1612435878
Ayan,56.45,138.1667,-17.36,73,100,17.0,RU,1612435878
Flin Flon,54.7682,-101.865,-8.45,90,100,8.75,CA,1612435878
Constitución,-35.3333,-72.4167,63.75,67,5,2.57,CL,1612435878
Nelson Bay,-32.7167,152.15,73.99,73,97,12.66,AU,1612435598
College,64.8569,-147.8028,-4.0,77,90,4.61,US,1612435878
Dodge City,37.7528,-100.0171,36.0,75,90,32.21,US,1612435878
Adrar,20.5022,-10.0711,80.94,15,54,7.34,MR,1612435879
Coyhaique,-45.5752,-72.0662,57.2,82,0,4.61,CL,1612435879
Rocha,-34.4833,-54.3333,65.43,93,100,17.56,UY,1612435879
Mahbūbābād,17.6167,80.0167,87.49,18,1,4.74,IN,1612435879
Diamantino,-14.4086,-56.4461,75.27,85,86,1.01,BR,1612435879
Kailua,21.4022,-157.7394,71.6,78,40,11.5,US,1612435879
Bukama,-9.2,25.85,86.29,60,43,3.51,CD,1612435879
Ixtapa,20.7,-105.2,66.63,39,0,3.29,MX,1612435879
Mocuba,-16.8392,36.9856,92.64,53,7,2.8,MZ,1612435880
Øksfjord,70.2396,22.3479,32.0,59,20,9.22,NO,1612435880
Mahabalipuram,12.6264,80.1722,84.2,45,20,12.66,IN,1612435880
Verāval,20.9,70.3667,79.12,44,36,13.22,IN,1612435880
Huntsville,34.7304,-86.5861,34.0,80,75,5.28,US,1612435582
Plácido de Castro,-10.3353,-67.1856,73.6,90,97,1.03,BR,1612435880
Olafsvik,64.8945,-23.7142,36.77,81,100,35.3,IS,1612435880
Chiredzi,-21.05,31.6667,87.62,63,83,1.77,ZW,1612435880
Pretoria,-25.7449,28.1878,75.2,78,100,3.44,ZA,1612435848
Mumford,5.2618,-0.759,84.45,70,8,9.66,GH,1612435881
Antofagasta,-23.65,-70.4,60.8,88,20,3.44,CL,1612435881
Flagstaff,35.1981,-111.6513,30.2,74,1,5.61,US,1612435854
Eilat,29.5581,34.9482,71.6,43,75,4.61,IL,1612435881
Kīl Bhuvanagiri,11.4667,79.6333,79.32,60,33,14.34,IN,1612435881
Pakxan,18.3778,103.6601,81.21,35,7,2.33,LA,1612435881
Pechora,65.1472,57.2244,0.79,94,95,2.93,RU,1612435881
Le Robert,14.6775,-60.9392,77.0,83,20,8.05,MQ,1612435881
Huarmey,-10.0681,-78.1522,68.59,77,81,3.27,PE,1612435881
Santa Cruz de La Palma,28.6835,-17.7642,64.4,48,40,9.22,ES,1612435882
Yar-Sale,66.8333,70.8333,-11.13,89,89,8.25,RU,1612435882
Yanji,42.9075,129.5078,8.42,90,84,1.95,CN,1612435882
Pangkalanbuun,-2.6833,111.6167,78.91,90,93,2.33,ID,1612435882
Hyères,43.1167,6.1167,55.4,94,90,6.91,FR,1612435882
Odesa,46.4775,30.7326,41.0,100,40,13.42,UA,1612435782
Kansanshi,-12.0951,26.4273,81.84,55,83,0.94,ZM,1612435882
Brae,60.3964,-1.353,35.6,64,40,6.91,GB,1612435882
Mackenzie,55.2999,-123.1698,14.0,92,90,4.61,CA,1612435883
Hermosillo,29.0667,-110.9667,64.99,49,94,1.01,MX,1612435650
Garissa,-0.4536,39.6401,93.06,31,10,5.46,KE,1612435883
Sakakah,29.9697,40.2064,59.0,82,75,5.75,SA,1612435883
Lompoc,34.6391,-120.4579,50.0,50,1,6.91,US,1612435660
Huilong,31.8111,121.655,48.99,65,4,1.99,CN,1612435883
North Bend,43.4065,-124.2243,41.0,100,40,5.75,US,1612435855
São Miguel do Araguaia,-13.275,-50.1628,75.65,88,86,1.72,BR,1612435883
Bulolo,-7.2,146.65,72.63,71,89,3.71,PG,1612435884
Qandala,11.472,49.8728,77.2,49,0,10.51,SO,1612435832
Forsytheganj,52.6333,29.7333,36.18,99,100,9.4,BY,1612435884
Thunder Bay,48.4001,-89.3168,33.8,86,90,8.05,CA,1612435615
Cayenne,4.9333,-52.3333,80.6,78,75,11.5,GF,1612435884
